date,year,quarter,month,day,day_of_week,is_weekend
2015-03-11,2015,1,3,11,Wednesday,False
2015-03-14,2015,1,3,14,Saturday,True
2015-03-15,2015,1,3,15,Sunday,True
2015-03-16,2015,1,3,16,Monday,False
2015-03-17,2015,1,3,17,Tuesday,False
2015-03-18,2015,1,3,18,Wednesday,False
2015-03-19,2015,1,3,19,Thursday,False
2015-03-21,2015,1,3,21,Saturday,True
2015-03-22,2015,1,3,22,Sunday,True
2015-03-23,2015,1,3,23,Monday,False
2015-03-24,2015,1,3,24,Tuesday,False
2015-03-25,2015,1,3,25,Wednesday,False
2015-03-26,2015,1,3,26,Thursday,False
2015-03-28,2015,1,3,28,Saturday,True
2015-03-29,2015,1,3,29,Sunday,True
2015-03-30,2015,1,3,30,Monday,False
2015-03-31,2015,1,3,31,Tuesday,False
2015-04-01,2015,2,4,1,Wednesday,False
2015-04-02,2015,2,4,2,Thursday,False
2015-04-03,2015,2,4,3,Friday,False
2015-04-04,2015,2,4,4,Saturday,True
2015-04-05,2015,2,4,5,Sunday,True
2015-04-06,2015,2,4,6,Monday,False
2015-04-07,2015,2,4,7,Tuesday,False
2015-04-08,2015,2,4,8,Wednesday,False
2015-04-11,2015,2,4,11,Saturday,True
2015-04-12,2015,2,4,12,Sunday,True
2015-04-13,2015,2,4,13,Monday,False
2015-04-15,2015,2,4,15,Wednesday,False
2015-04-16,2015,2,4,16,Thursday,False
2015-04-18,2015,2,4,18,Saturday,True
2015-04-19,2015,2,4,19,Sunday,True
2015-04-20,2015,2,4,20,Monday,False
2015-04-21,2015,2,4,21,Tuesday,False
2015-04-22,2015,2,4,22,Wednesday,False
2015-04-23,2015,2,4,23,Thursday,False
2015-04-25,2015,2,4,25,Saturday,True
2015-04-26,2015,2,4,26,Sunday,True
2015-04-28,2015,2,4,28,Tuesday,False
2015-04-29,2015,2,4,29,Wednesday,False
2015-04-30,2015,2,4,30,Thursday,False
2015-05-02,2015,2,5,2,Saturday,True
2015-05-03,2015,2,5,3,Sunday,True
2015-05-04,2015,2,5,4,Monday,False
2015-05-05,2015,2,5,5,Tuesday,False
2015-05-06,2015,2,5,6,Wednesday,False
2015-05-07,2015,2,5,7,Thursday,False
2015-05-08,2015,2,5,8,Friday,False
2015-05-09,2015,2,5,9,Saturday,True
2015-05-10,2015,2,5,10,Sunday,True
2015-05-11,2015,2,5,11,Monday,False
2015-05-12,2015,2,5,12,Tuesday,False
2015-05-13,2015,2,5,13,Wednesday,False
2015-05-14,2015,2,5,14,Thursday,False
2015-05-16,2015,2,5,16,Saturday,True
2015-05-17,2015,2,5,17,Sunday,True
2015-05-18,2015,2,5,18,Monday,False
2015-05-19,2015,2,5,19,Tuesday,False
2015-05-20,2015,2,5,20,Wednesday,False
2015-05-21,2015,2,5,21,Thursday,False
2015-05-22,2015,2,5,22,Friday,False
2015-05-23,2015,2,5,23,Saturday,True
2015-05-24,2015,2,5,24,Sunday,True
2015-05-25,2015,2,5,25,Monday,False
2015-05-26,2015,2,5,26,Tuesday,False
2015-05-27,2015,2,5,27,Wednesday,False
2015-05-28,2015,2,5,28,Thursday,False
2015-05-30,2015,2,5,30,Saturday,True
2015-05-31,2015,2,5,31,Sunday,True
2015-06-01,2015,2,6,1,Monday,False
2015-06-02,2015,2,6,2,Tuesday,False
2015-06-03,2015,2,6,3,Wednesday,False
2015-06-04,2015,2,6,4,Thursday,False
2015-06-06,2015,2,6,6,Saturday,True
2015-06-07,2015,2,6,7,Sunday,True
2015-06-08,2015,2,6,8,Monday,False
2015-06-09,2015,2,6,9,Tuesday,False
2015-06-10,2015,2,6,10,Wednesday,False
2015-06-13,2015,2,6,13,Saturday,True
2015-06-14,2015,2,6,14,Sunday,True
2015-06-15,2015,2,6,15,Monday,False
2015-06-16,2015,2,6,16,Tuesday,False
2015-06-17,2015,2,6,17,Wednesday,False
2015-06-18,2015,2,6,18,Thursday,False
2015-06-20,2015,2,6,20,Saturday,True
2015-06-21,2015,2,6,21,Sunday,True
2015-06-22,2015,2,6,22,Monday,False
2015-06-23,2015,2,6,23,Tuesday,False
2015-06-24,2015,2,6,24,Wednesday,False
2015-06-25,2015,2,6,25,Thursday,False
2015-06-27,2015,2,6,27,Saturday,True
2015-06-28,2015,2,6,28,Sunday,True
2015-06-29,2015,2,6,29,Monday,False
2015-06-30,2015,2,6,30,Tuesday,False
2015-07-01,2015,3,7,1,Wednesday,False
2015-07-02,2015,3,7,2,Thursday,False
2015-07-04,2015,3,7,4,Saturday,True
2015-07-05,2015,3,7,5,Sunday,True
2015-07-06,2015,3,7,6,Monday,False
2015-07-07,2015,3,7,7,Tuesday,False
2015-07-08,2015,3,7,8,Wednesday,False
2015-07-09,2015,3,7,9,Thursday,False
2015-07-11,2015,3,7,11,Saturday,True
2015-07-12,2015,3,7,12,Sunday,True
2015-07-13,2015,3,7,13,Monday,False
2015-07-14,2015,3,7,14,Tuesday,False
2015-07-15,2015,3,7,15,Wednesday,False
2015-07-18,2015,3,7,18,Saturday,True
2015-07-19,2015,3,7,19,Sunday,True
2015-07-20,2015,3,7,20,Monday,False
2015-07-21,2015,3,7,21,Tuesday,False
2015-07-22,2015,3,7,22,Wednesday,False
2015-07-23,2015,3,7,23,Thursday,False
2015-07-25,2015,3,7,25,Saturday,True
2015-07-26,2015,3,7,26,Sunday,True
2015-07-27,2015,3,7,27,Monday,False
2015-07-28,2015,3,7,28,Tuesday,False
2015-07-30,2015,3,7,30,Thursday,False
2015-08-01,2015,3,8,1,Saturday,True
2015-08-02,2015,3,8,2,Sunday,True
2015-08-03,2015,3,8,3,Monday,False
2015-08-04,2015,3,8,4,Tuesday,False
2015-08-05,2015,3,8,5,Wednesday,False
2015-08-06,2015,3,8,6,Thursday,False
2015-08-08,2015,3,8,8,Saturday,True
2015-08-09,2015,3,8,9,Sunday,True
2015-08-11,2015,3,8,11,Tuesday,False
2015-08-12,2015,3,8,12,Wednesday,False
2015-08-15,2015,3,8,15,Saturday,True
2015-08-16,2015,3,8,16,Sunday,True
2015-08-17,2015,3,8,17,Monday,False
2015-08-19,2015,3,8,19,Wednesday,False
2015-08-20,2015,3,8,20,Thursday,False
2015-08-22,2015,3,8,22,Saturday,True
2015-08-23,2015,3,8,23,Sunday,True
2015-08-24,2015,3,8,24,Monday,False
2015-08-25,2015,3,8,25,Tuesday,False
2015-08-26,2015,3,8,26,Wednesday,False
2015-08-27,2015,3,8,27,Thursday,False
2015-08-29,2015,3,8,29,Saturday,True
2015-08-30,2015,3,8,30,Sunday,True
2015-08-31,2015,3,8,31,Monday,False
2015-09-01,2015,3,9,1,Tuesday,False
2015-09-02,2015,3,9,2,Wednesday,False
2015-09-03,2015,3,9,3,Thursday,False
2015-09-05,2015,3,9,5,Saturday,True
2015-09-06,2015,3,9,6,Sunday,True
2015-09-07,2015,3,9,7,Monday,False
2015-09-08,2015,3,9,8,Tuesday,False
2015-09-09,2015,3,9,9,Wednesday,False
2015-09-10,2015,3,9,10,Thursday,False
2015-09-11,2015,3,9,11,Friday,False
2015-09-12,2015,3,9,12,Saturday,True
2015-09-13,2015,3,9,13,Sunday,True
2015-09-14,2015,3,9,14,Monday,False
2015-09-15,2015,3,9,15,Tuesday,False
2015-09-16,2015,3,9,16,Wednesday,False
2015-09-17,2015,3,9,17,Thursday,False
2015-09-19,2015,3,9,19,Saturday,True
2015-09-20,2015,3,9,20,Sunday,True
2015-09-21,2015,3,9,21,Monday,False
2015-09-22,2015,3,9,22,Tuesday,False
2015-09-23,2015,3,9,23,Wednesday,False
2015-09-24,2015,3,9,24,Thursday,False
2015-09-25,2015,3,9,25,Friday,False
2015-09-26,2015,3,9,26,Saturday,True
2015-09-27,2015,3,9,27,Sunday,True
2015-09-28,2015,3,9,28,Monday,False
2015-09-29,2015,3,9,29,Tuesday,False
2015-09-30,2015,3,9,30,Wednesday,False
2015-10-01,2015,4,10,1,Thursday,False
2015-10-02,2015,4,10,2,Friday,False
2015-10-03,2015,4,10,3,Saturday,True
2015-10-04,2015,4,10,4,Sunday,True
2015-10-05,2015,4,10,5,Monday,False
2015-10-06,2015,4,10,6,Tuesday,False
2015-10-07,2015,4,10,7,Wednesday,False
2015-10-08,2015,4,10,8,Thursday,False
2015-10-09,2015,4,10,9,Friday,False
2015-10-10,2015,4,10,10,Saturday,True
2015-10-11,2015,4,10,11,Sunday,True
2015-10-12,2015,4,10,12,Monday,False
2015-10-13,2015,4,10,13,Tuesday,False
2015-10-14,2015,4,10,14,Wednesday,False
2015-10-15,2015,4,10,15,Thursday,False
2015-10-16,2015,4,10,16,Friday,False
2015-10-17,2015,4,10,17,Saturday,True
2015-10-18,2015,4,10,18,Sunday,True
2015-10-19,2015,4,10,19,Monday,False
2015-10-20,2015,4,10,20,Tuesday,False
2015-10-21,2015,4,10,21,Wednesday,False
2015-10-22,2015,4,10,22,Thursday,False
2015-10-24,2015,4,10,24,Saturday,True
2015-10-25,2015,4,10,25,Sunday,True
2015-10-26,2015,4,10,26,Monday,False
2015-10-27,2015,4,10,27,Tuesday,False
2015-10-28,2015,4,10,28,Wednesday,False
2015-10-29,2015,4,10,29,Thursday,False
2015-10-31,2015,4,10,31,Saturday,True
2015-11-01,2015,4,11,1,Sunday,True
2015-11-02,2015,4,11,2,Monday,False
2015-11-03,2015,4,11,3,Tuesday,False
2015-11-04,2015,4,11,4,Wednesday,False
2015-11-05,2015,4,11,5,Thursday,False
2015-11-06,2015,4,11,6,Friday,False
2015-11-07,2015,4,11,7,Saturday,True
2015-11-08,2015,4,11,8,Sunday,True
2015-11-09,2015,4,11,9,Monday,False
2015-11-10,2015,4,11,10,Tuesday,False
2015-11-11,2015,4,11,11,Wednesday,False
2015-11-12,2015,4,11,12,Thursday,False
2015-11-14,2015,4,11,14,Saturday,True
2015-11-15,2015,4,11,15,Sunday,True
2015-11-16,2015,4,11,16,Monday,False
2015-11-17,2015,4,11,17,Tuesday,False
2015-11-18,2015,4,11,18,Wednesday,False
2015-11-19,2015,4,11,19,Thursday,False
2015-11-20,2015,4,11,20,Friday,False
2015-11-21,2015,4,11,21,Saturday,True
2015-11-22,2015,4,11,22,Sunday,True
2015-11-23,2015,4,11,23,Monday,False
2015-11-24,2015,4,11,24,Tuesday,False
2015-11-25,2015,4,11,25,Wednesday,False
2015-11-26,2015,4,11,26,Thursday,False
2015-11-27,2015,4,11,27,Friday,False
2015-11-28,2015,4,11,28,Saturday,True
2015-11-29,2015,4,11,29,Sunday,True
2015-11-30,2015,4,11,30,Monday,False
2015-12-01,2015,4,12,1,Tuesday,False
2015-12-02,2015,4,12,2,Wednesday,False
2015-12-03,2015,4,12,3,Thursday,False
2015-12-04,2015,4,12,4,Friday,False
2015-12-05,2015,4,12,5,Saturday,True
2015-12-06,2015,4,12,6,Sunday,True
2015-12-07,2015,4,12,7,Monday,False
2015-12-08,2015,4,12,8,Tuesday,False
2015-12-09,2015,4,12,9,Wednesday,False
2015-12-10,2015,4,12,10,Thursday,False
2015-12-12,2015,4,12,12,Saturday,True
2015-12-13,2015,4,12,13,Sunday,True
2015-12-14,2015,4,12,14,Monday,False
2015-12-15,2015,4,12,15,Tuesday,False
2015-12-16,2015,4,12,16,Wednesday,False
2015-12-17,2015,4,12,17,Thursday,False
2015-12-19,2015,4,12,19,Saturday,True
2015-12-20,2015,4,12,20,Sunday,True
2015-12-21,2015,4,12,21,Monday,False
2015-12-22,2015,4,12,22,Tuesday,False
2015-12-23,2015,4,12,23,Wednesday,False
2015-12-24,2015,4,12,24,Thursday,False
2015-12-26,2015,4,12,26,Saturday,True
2015-12-27,2015,4,12,27,Sunday,True
2015-12-28,2015,4,12,28,Monday,False
2015-12-29,2015,4,12,29,Tuesday,False
2015-12-30,2015,4,12,30,Wednesday,False
2015-12-31,2015,4,12,31,Thursday,False
2016-01-02,2016,1,1,2,Saturday,True
2016-01-03,2016,1,1,3,Sunday,True
2016-01-04,2016,1,1,4,Monday,False
2016-01-05,2016,1,1,5,Tuesday,False
2016-01-06,2016,1,1,6,Wednesday,False
2016-01-09,2016,1,1,9,Saturday,True
2016-01-10,2016,1,1,10,Sunday,True
2016-01-12,2016,1,1,12,Tuesday,False
2016-01-13,2016,1,1,13,Wednesday,False
2016-01-17,2016,1,1,17,Sunday,True
2016-01-19,2016,1,1,19,Tuesday,False
2016-01-23,2016,1,1,23,Saturday,True
2016-01-24,2016,1,1,24,Sunday,True
2016-01-26,2016,1,1,26,Tuesday,False
2016-01-27,2016,1,1,27,Wednesday,False
2016-01-28,2016,1,1,28,Thursday,False
2016-01-30,2016,1,1,30,Saturday,True
2016-01-31,2016,1,1,31,Sunday,True
2016-02-03,2016,1,2,3,Wednesday,False
2016-02-06,2016,1,2,6,Saturday,True
2016-02-07,2016,1,2,7,Sunday,True
2016-02-08,2016,1,2,8,Monday,False
2016-02-09,2016,1,2,9,Tuesday,False
2016-02-10,2016,1,2,10,Wednesday,False
2016-02-14,2016,1,2,14,Sunday,True
2016-02-15,2016,1,2,15,Monday,False
2016-02-16,2016,1,2,16,Tuesday,False
2016-02-18,2016,1,2,18,Thursday,False
2016-02-20,2016,1,2,20,Saturday,True
2016-02-21,2016,1,2,21,Sunday,True
2016-02-22,2016,1,2,22,Monday,False
2016-02-23,2016,1,2,23,Tuesday,False
2016-02-25,2016,1,2,25,Thursday,False
2016-02-27,2016,1,2,27,Saturday,True
2016-02-28,2016,1,2,28,Sunday,True
2016-03-01,2016,1,3,1,Tuesday,False
2016-03-02,2016,1,3,2,Wednesday,False
2016-03-05,2016,1,3,5,Saturday,True
2016-03-06,2016,1,3,6,Sunday,True
2016-03-07,2016,1,3,7,Monday,False
2016-03-08,2016,1,3,8,Tuesday,False
2016-03-09,2016,1,3,9,Wednesday,False
2016-03-10,2016,1,3,10,Thursday,False
2016-03-12,2016,1,3,12,Saturday,True
2016-03-13,2016,1,3,13,Sunday,True
2016-03-14,2016,1,3,14,Monday,False
2016-03-15,2016,1,3,15,Tuesday,False
2016-03-16,2016,1,3,16,Wednesday,False
2016-03-17,2016,1,3,17,Thursday,False
2016-03-19,2016,1,3,19,Saturday,True
2016-03-20,2016,1,3,20,Sunday,True
2016-03-21,2016,1,3,21,Monday,False
2016-03-22,2016,1,3,22,Tuesday,False
2016-03-23,2016,1,3,23,Wednesday,False
2016-03-24,2016,1,3,24,Thursday,False
2016-03-26,2016,1,3,26,Saturday,True
2016-03-27,2016,1,3,27,Sunday,True
2016-03-28,2016,1,3,28,Monday,False
2016-03-29,2016,1,3,29,Tuesday,False
2016-03-30,2016,1,3,30,Wednesday,False
2016-03-31,2016,1,3,31,Thursday,False
2016-04-02,2016,2,4,2,Saturday,True
2016-04-04,2016,2,4,4,Monday,False
2016-04-05,2016,2,4,5,Tuesday,False
2016-04-06,2016,2,4,6,Wednesday,False
2016-04-07,2016,2,4,7,Thursday,False
2016-04-09,2016,2,4,9,Saturday,True
2016-04-10,2016,2,4,10,Sunday,True
2016-04-11,2016,2,4,11,Monday,False
2016-04-12,2016,2,4,12,Tuesday,False
2016-04-13,2016,2,4,13,Wednesday,False
2016-04-14,2016,2,4,14,Thursday,False
2016-04-16,2016,2,4,16,Saturday,True
2016-04-17,2016,2,4,17,Sunday,True
2016-04-18,2016,2,4,18,Monday,False
2016-04-19,2016,2,4,19,Tuesday,False
2016-04-20,2016,2,4,20,Wednesday,False
2016-04-21,2016,2,4,21,Thursday,False
2016-04-22,2016,2,4,22,Friday,False
2016-04-24,2016,2,4,24,Sunday,True
2016-04-25,2016,2,4,25,Monday,False
2016-04-26,2016,2,4,26,Tuesday,False
2016-04-27,2016,2,4,27,Wednesday,False
2016-04-28,2016,2,4,28,Thursday,False
2016-04-29,2016,2,4,29,Friday,False
2016-04-30,2016,2,4,30,Saturday,True
2016-05-01,2016,2,5,1,Sunday,True
2016-05-02,2016,2,5,2,Monday,False
2016-05-03,2016,2,5,3,Tuesday,False
2016-05-04,2016,2,5,4,Wednesday,False
2016-05-07,2016,2,5,7,Saturday,True
2016-05-08,2016,2,5,8,Sunday,True
2016-05-09,2016,2,5,9,Monday,False
2016-05-10,2016,2,5,10,Tuesday,False
2016-05-11,2016,2,5,11,Wednesday,False
2016-05-12,2016,2,5,12,Thursday,False
2016-05-13,2016,2,5,13,Friday,False
2016-05-14,2016,2,5,14,Saturday,True
2016-05-15,2016,2,5,15,Sunday,True
2016-05-16,2016,2,5,16,Monday,False
2016-05-17,2016,2,5,17,Tuesday,False
2016-05-18,2016,2,5,18,Wednesday,False
2016-05-20,2016,2,5,20,Friday,False
2016-05-21,2016,2,5,21,Saturday,True
2016-05-22,2016,2,5,22,Sunday,True
2016-05-23,2016,2,5,23,Monday,False
2016-05-24,2016,2,5,24,Tuesday,False
2016-05-25,2016,2,5,25,Wednesday,False
2016-05-26,2016,2,5,26,Thursday,False
2016-05-28,2016,2,5,28,Saturday,True
2016-05-29,2016,2,5,29,Sunday,True
2016-05-30,2016,2,5,30,Monday,False
2016-05-31,2016,2,5,31,Tuesday,False
2016-06-01,2016,2,6,1,Wednesday,False
2016-06-04,2016,2,6,4,Saturday,True
2016-06-05,2016,2,6,5,Sunday,True
2016-06-07,2016,2,6,7,Tuesday,False
2016-06-08,2016,2,6,8,Wednesday,False
2016-06-09,2016,2,6,9,Thursday,False
2016-06-11,2016,2,6,11,Saturday,True
2016-06-12,2016,2,6,12,Sunday,True
2016-06-13,2016,2,6,13,Monday,False
2016-06-14,2016,2,6,14,Tuesday,False
2016-06-15,2016,2,6,15,Wednesday,False
2016-06-16,2016,2,6,16,Thursday,False
2016-06-18,2016,2,6,18,Saturday,True
2016-06-19,2016,2,6,19,Sunday,True
2016-06-20,2016,2,6,20,Monday,False
2016-06-21,2016,2,6,21,Tuesday,False
2016-06-22,2016,2,6,22,Wednesday,False
2016-06-23,2016,2,6,23,Thursday,False
2016-06-25,2016,2,6,25,Saturday,True
2016-06-26,2016,2,6,26,Sunday,True
2016-06-28,2016,2,6,28,Tuesday,False
2016-06-29,2016,2,6,29,Wednesday,False
2016-07-02,2016,3,7,2,Saturday,True
2016-07-03,2016,3,7,3,Sunday,True
2016-07-04,2016,3,7,4,Monday,False
2016-07-05,2016,3,7,5,Tuesday,False
2016-07-06,2016,3,7,6,Wednesday,False
2016-07-08,2016,3,7,8,Friday,False
2016-07-09,2016,3,7,9,Saturday,True
2016-07-10,2016,3,7,10,Sunday,True
2016-07-11,2016,3,7,11,Monday,False
2016-07-12,2016,3,7,12,Tuesday,False
2016-07-13,2016,3,7,13,Wednesday,False
2016-07-14,2016,3,7,14,Thursday,False
2016-07-16,2016,3,7,16,Saturday,True
2016-07-17,2016,3,7,17,Sunday,True
2016-07-18,2016,3,7,18,Monday,False
2016-07-19,2016,3,7,19,Tuesday,False
2016-07-20,2016,3,7,20,Wednesday,False
2016-07-23,2016,3,7,23,Saturday,True
2016-07-24,2016,3,7,24,Sunday,True
2016-07-25,2016,3,7,25,Monday,False
2016-07-26,2016,3,7,26,Tuesday,False
2016-07-27,2016,3,7,27,Wednesday,False
2016-07-30,2016,3,7,30,Saturday,True
2016-07-31,2016,3,7,31,Sunday,True
2016-08-01,2016,3,8,1,Monday,False
2016-08-02,2016,3,8,2,Tuesday,False
2016-08-05,2016,3,8,5,Friday,False
2016-08-06,2016,3,8,6,Saturday,True
2016-08-07,2016,3,8,7,Sunday,True
2016-08-08,2016,3,8,8,Monday,False
2016-08-09,2016,3,8,9,Tuesday,False
2016-08-10,2016,3,8,10,Wednesday,False
2016-08-11,2016,3,8,11,Thursday,False
2016-08-13,2016,3,8,13,Saturday,True
2016-08-15,2016,3,8,15,Monday,False
2016-08-16,2016,3,8,16,Tuesday,False
2016-08-17,2016,3,8,17,Wednesday,False
2016-08-21,2016,3,8,21,Sunday,True
2016-08-22,2016,3,8,22,Monday,False
2016-08-23,2016,3,8,23,Tuesday,False
2016-08-24,2016,3,8,24,Wednesday,False
2016-08-25,2016,3,8,25,Thursday,False
2016-08-27,2016,3,8,27,Saturday,True
2016-08-28,2016,3,8,28,Sunday,True
2016-08-29,2016,3,8,29,Monday,False
2016-08-31,2016,3,8,31,Wednesday,False
2016-09-01,2016,3,9,1,Thursday,False
2016-09-03,2016,3,9,3,Saturday,True
2016-09-04,2016,3,9,4,Sunday,True
2016-09-05,2016,3,9,5,Monday,False
2016-09-06,2016,3,9,6,Tuesday,False
2016-09-07,2016,3,9,7,Wednesday,False
2016-09-08,2016,3,9,8,Thursday,False
2016-09-10,2016,3,9,10,Saturday,True
2016-09-11,2016,3,9,11,Sunday,True
2016-09-12,2016,3,9,12,Monday,False
2016-09-13,2016,3,9,13,Tuesday,False
2016-09-14,2016,3,9,14,Wednesday,False
2016-09-15,2016,3,9,15,Thursday,False
2016-09-16,2016,3,9,16,Friday,False
2016-09-17,2016,3,9,17,Saturday,True
2016-09-18,2016,3,9,18,Sunday,True
2016-09-19,2016,3,9,19,Monday,False
2016-09-20,2016,3,9,20,Tuesday,False
2016-09-21,2016,3,9,21,Wednesday,False
2016-09-22,2016,3,9,22,Thursday,False
2016-09-24,2016,3,9,24,Saturday,True
2016-09-25,2016,3,9,25,Sunday,True
2016-09-26,2016,3,9,26,Monday,False
2016-09-27,2016,3,9,27,Tuesday,False
2016-09-28,2016,3,9,28,Wednesday,False
2016-10-01,2016,4,10,1,Saturday,True
2016-10-02,2016,4,10,2,Sunday,True
2016-10-03,2016,4,10,3,Monday,False
2016-10-04,2016,4,10,4,Tuesday,False
2016-10-05,2016,4,10,5,Wednesday,False
2016-10-08,2016,4,10,8,Saturday,True
2016-10-09,2016,4,10,9,Sunday,True
2016-10-10,2016,4,10,10,Monday,False
2016-10-11,2016,4,10,11,Tuesday,False
2016-10-12,2016,4,10,12,Wednesday,False
2016-10-13,2016,4,10,13,Thursday,False
2016-10-15,2016,4,10,15,Saturday,True
2016-10-16,2016,4,10,16,Sunday,True
2016-10-17,2016,4,10,17,Monday,False
2016-10-18,2016,4,10,18,Tuesday,False
2016-10-19,2016,4,10,19,Wednesday,False
2016-10-20,2016,4,10,20,Thursday,False
2016-10-22,2016,4,10,22,Saturday,True
2016-10-23,2016,4,10,23,Sunday,True
2016-10-24,2016,4,10,24,Monday,False
2016-10-25,2016,4,10,25,Tuesday,False
2016-10-26,2016,4,10,26,Wednesday,False
2016-10-28,2016,4,10,28,Friday,False
2016-10-29,2016,4,10,29,Saturday,True
2016-10-30,2016,4,10,30,Sunday,True
2016-10-31,2016,4,10,31,Monday,False
2016-11-01,2016,4,11,1,Tuesday,False
2016-11-02,2016,4,11,2,Wednesday,False
2016-11-03,2016,4,11,3,Thursday,False
2016-11-05,2016,4,11,5,Saturday,True
2016-11-06,2016,4,11,6,Sunday,True
2016-11-07,2016,4,11,7,Monday,False
2016-11-08,2016,4,11,8,Tuesday,False
2016-11-09,2016,4,11,9,Wednesday,False
2016-11-10,2016,4,11,10,Thursday,False
2016-11-11,2016,4,11,11,Friday,False
2016-11-12,2016,4,11,12,Saturday,True
2016-11-13,2016,4,11,13,Sunday,True
2016-11-14,2016,4,11,14,Monday,False
2016-11-15,2016,4,11,15,Tuesday,False
2016-11-16,2016,4,11,16,Wednesday,False
2016-11-17,2016,4,11,17,Thursday,False
2016-11-19,2016,4,11,19,Saturday,True
2016-11-20,2016,4,11,20,Sunday,True
2016-11-21,2016,4,11,21,Monday,False
2016-11-22,2016,4,11,22,Tuesday,False
2016-11-23,2016,4,11,23,Wednesday,False
2016-11-24,2016,4,11,24,Thursday,False
2016-11-25,2016,4,11,25,Friday,False
2016-11-26,2016,4,11,26,Saturday,True
2016-11-27,2016,4,11,27,Sunday,True
2016-11-28,2016,4,11,28,Monday,False
2016-11-29,2016,4,11,29,Tuesday,False
2016-11-30,2016,4,11,30,Wednesday,False
2016-12-01,2016,4,12,1,Thursday,False
2016-12-03,2016,4,12,3,Saturday,True
2016-12-04,2016,4,12,4,Sunday,True
2016-12-05,2016,4,12,5,Monday,False
2016-12-06,2016,4,12,6,Tuesday,False
2016-12-07,2016,4,12,7,Wednesday,False
2016-12-08,2016,4,12,8,Thursday,False
2016-12-09,2016,4,12,9,Friday,False
2016-12-10,2016,4,12,10,Saturday,True
2016-12-11,2016,4,12,11,Sunday,True
2016-12-12,2016,4,12,12,Monday,False
2016-12-13,2016,4,12,13,Tuesday,False
2016-12-14,2016,4,12,14,Wednesday,False
2016-12-15,2016,4,12,15,Thursday,False
2016-12-16,2016,4,12,16,Friday,False
2016-12-17,2016,4,12,17,Saturday,True
2016-12-18,2016,4,12,18,Sunday,True
2016-12-19,2016,4,12,19,Monday,False
2016-12-20,2016,4,12,20,Tuesday,False
2016-12-21,2016,4,12,21,Wednesday,False
2016-12-22,2016,4,12,22,Thursday,False
2016-12-23,2016,4,12,23,Friday,False
2016-12-24,2016,4,12,24,Saturday,True
2016-12-25,2016,4,12,25,Sunday,True
2016-12-26,2016,4,12,26,Monday,False
2016-12-27,2016,4,12,27,Tuesday,False
2016-12-28,2016,4,12,28,Wednesday,False
2016-12-29,2016,4,12,29,Thursday,False
2016-12-30,2016,4,12,30,Friday,False
2016-12-31,2016,4,12,31,Saturday,True
2017-01-02,2017,1,1,2,Monday,False
2017-01-03,2017,1,1,3,Tuesday,False
2017-01-04,2017,1,1,4,Wednesday,False
2017-01-05,2017,1,1,5,Thursday,False
2017-01-07,2017,1,1,7,Saturday,True
2017-01-08,2017,1,1,8,Sunday,True
2017-01-09,2017,1,1,9,Monday,False
2017-01-10,2017,1,1,10,Tuesday,False
